DCid	Species	GSMID	Factor	Cell_line	Cell_type	Tissue_type	FastQC	UniquelyMappedRatio	PBC	PeaksFoldChangeAbove10	FRiP	PeaksUnionDHSRatio
857	Homo sapiens	GSM667614	H3K14ac	H1	Embryonic Stem Cell	Embryo	2.0	0.4327	0.988	27.0	0.0029915	0.8413037670319999
858	Homo sapiens	GSM605304	H3K18ac	H1	Embryonic Stem Cell	Embryo	29.0	0.3872	0.976	357.0	0.017733000000000002	0.9062
859	Homo sapiens	GSM602259	H3K18ac	H1	Embryonic Stem Cell	Embryo	33.0	0.7016	0.9990000000000001	96.0	0.006122	0.8656
860	Homo sapiens	GSM667618	H3K23ac	H1	Embryonic Stem Cell	Embryo	23.0	0.4845	0.987	31.0	0.00149225	0.625
861	Homo sapiens	GSM667617	H3K23ac	H1	Embryonic Stem Cell	Embryo	22.0	0.4912	0.985	23.0	0.000886	0.722222222222
862	Homo sapiens	GSM605306	H3K23me2	H1	Embryonic Stem Cell	Embryo	33.0	0.5671	0.98	3175.0	0.08688275	0.3508
863	Homo sapiens	GSM605305	H3K23me2	H1	Embryonic Stem Cell	Embryo	32.0	0.6495	0.997	48.0	0.00454975	0.771659324523
864	Homo sapiens	GSM663427	H3K27ac	H1	Embryonic Stem Cell	Embryo	33.0	0.6127	0.986	2239.0	0.09606825	0.9342
867	Homo sapiens	GSM466732	H3K27ac	H1	Embryonic Stem Cell	Embryo	22.0	0.4352	0.977	5464.0	0.1407925	0.9362
868	Homo sapiens	GSM605308	H3K27me3	H1	Embryonic Stem Cell	Embryo	29.0	0.5323	0.985	213.0	0.0662615	0.662
869	Homo sapiens	GSM537683	H3K27me3	H1	Embryonic Stem Cell	Embryo	32.0	0.807	0.9470000000000001	73.0	0.10586659903100001	0.838144329897
870	Homo sapiens	GSM433167	H3K27me3	H1	Embryonic Stem Cell	Embryo	15.0	0.4684	0.981	106.0	0.080458	0.7823173367919999
871	Homo sapiens	GSM428295	H3K27me3	H1	Embryonic Stem Cell	Embryo	21.0	0.2798	0.99	134.0	0.0849585	0.757583682008
874	Homo sapiens	GSM466734	H3K27me3	H1	Embryonic Stem Cell	Embryo	24.0	0.4371	0.8370000000000001	1125.0	0.30564175	0.8604
875	Homo sapiens	GSM434776	H3K27me3	H1	Embryonic Stem Cell	Embryo	29.0	0.5527	0.992	192.0	0.10113275	0.7844
876	Homo sapiens	GSM605309	H3K36me3	H1	Embryonic Stem Cell	Embryo	27.0	0.5703	0.996	59.0	0.01367175	0.4124
877	Homo sapiens	GSM537684	H3K36me3	H1	Embryonic Stem Cell	Embryo	29.0	0.7109	0.99	26.0	0.0031875	0.45519713261600003
878	Homo sapiens	GSM450268	H3K36me3	H1	Embryonic Stem Cell	Embryo	25.0	0.5105	0.978	526.0	0.10589175	0.4702
879	Homo sapiens	GSM433176	H3K36me3	H1	Embryonic Stem Cell	Embryo	31.0	0.7646	0.9690000000000001	18.0	0.00086725	0.53488372093
880	Homo sapiens	GSM428296	H3K36me3	H1	Embryonic Stem Cell	Embryo	21.0	0.3474	0.997	52.0	0.017524	0.43961792131000005
883	Homo sapiens	GSM466737	H3K36me3	H1	Embryonic Stem Cell	Embryo	29.0	0.5715	0.895	711.0	0.10387725	0.2564
884	Homo sapiens	GSM409312	H3K36me3	H1	Embryonic Stem Cell	Embryo	38.0	0.6207	0.98	21.0	0.006899	0.46799999999999997
885	Homo sapiens	GSM667624	H3K4ac	H1	Embryonic Stem Cell	Embryo	32.0	0.5919	0.991	24.0	0.0018440000000000002	0.7108655616940001
886	Homo sapiens	GSM605311	H3K4ac	H1	Embryonic Stem Cell	Embryo	33.0	0.7042	0.997	53.0	0.0027835	0.684311838306
887	Homo sapiens	GSM605312	H3K4me1	H1	Embryonic Stem Cell	Embryo	28.0	0.6083	0.993	1487.0	0.072635	0.8052
888	Homo sapiens	GSM537679	H3K4me1	H1	Embryonic Stem Cell	Embryo	30.0	0.8483	0.987	30.0	0.01501925	0.765
889	Homo sapiens	GSM434762	H3K4me1	H1	Embryonic Stem Cell	Embryo	28.0	0.8478	0.992	120.0	0.06134475	0.765
890	Homo sapiens	GSM433177	H3K4me1	H1	Embryonic Stem Cell	Embryo	39.0	0.8219	0.958	50.0	0.00402525	0.7304109589040001
891	Homo sapiens	GSM410807	H3K9ac	H1	Embryonic Stem Cell	Embryo	25.0	0.4403	0.991	693.0	0.056198000000000005	0.9542
894	Homo sapiens	GSM466739	H3K4me1	H1	Embryonic Stem Cell	Embryo	28.0	0.6341	0.977	3441.0	0.167551	0.767
895	Homo sapiens	GSM409307	H3K4me1	H1	Embryonic Stem Cell	Embryo	29.0	0.659	0.986	12.0	0.0002515	0.632653061224
896	Homo sapiens	GSM602261	H3K4me2	H1	Embryonic Stem Cell	Embryo	3.0	0.6764	0.991	7517.0	0.28951375	0.9522
897	Homo sapiens	GSM602260	H3K4me2	H1	Embryonic Stem Cell	Embryo	22.0	0.4028	0.9590000000000001	11633.0	0.45257325	0.9708
900	Homo sapiens	GSM605315	H3K4me3	H1	Embryonic Stem Cell	Embryo	30.0	0.7559	0.97	10772.0	0.605902	0.9752
901	Homo sapiens	GSM537681	H3K4me3	H1	Embryonic Stem Cell	Embryo	32.0	0.7966	0.9890000000000001	1612.0	0.1331255	0.9678
902	Homo sapiens	GSM537680	H3K4me3	H1	Embryonic Stem Cell	Embryo	19.0	0.7263	0.998	391.0	0.0874172566587	0.897
903	Homo sapiens	GSM433170	H3K4me3	H1	Embryonic Stem Cell	Embryo	15.0	0.4479	0.9940000000000001	2253.0	0.28556125	0.9648
904	Homo sapiens	GSM432392	H3K4me3	H1	Embryonic Stem Cell	Embryo	22.0	0.6113	0.907	12579.0	0.65638425	0.9706
905	Homo sapiens	GSM410808	H3K4me3	H1	Embryonic Stem Cell	Embryo	25.0	0.49700000000000005	0.97	7598.0	0.5308729999999999	0.9736
908	Homo sapiens	GSM469971	H3K4me3	H1	Embryonic Stem Cell	Embryo	23.0	0.3879	0.85	14796.0	0.651714	0.9764
909	Homo sapiens	GSM409308	H3K4me3	H1	Embryonic Stem Cell	Embryo	28.0	0.6239	0.972	7980.0	0.53709925	0.973
910	Homo sapiens	GSM667627	H3K56ac	H1	Embryonic Stem Cell	Embryo	36.0	0.6375	0.9620000000000001	37.0	0.00279375	0.8506069094300001
911	Homo sapiens	GSM605317	H3K56ac	H1	Embryonic Stem Cell	Embryo	33.0	0.6031	0.9570000000000001	1169.0	0.03285525	0.392
912	Homo sapiens	GSM605320	H3K79me1	H1	Embryonic Stem Cell	Embryo	33.0	0.7274	0.997	39.0	0.00133475	0.590625
913	Homo sapiens	GSM605319	H3K79me1	H1	Embryonic Stem Cell	Embryo	31.0	0.58	0.9940000000000001	42.0	0.0010595000000000001	0.715517241379
914	Homo sapiens	GSM605318	H3K79me1	H1	Embryonic Stem Cell	Embryo	30.0	0.6238	0.997	32.0	0.0009195000000000001	0.610576923077
915	Homo sapiens	GSM605322	H3K79me2	H1	Embryonic Stem Cell	Embryo	37.0	0.6819	0.986	46.0	0.0046405000000000005	0.5262669962919999
916	Homo sapiens	GSM605321	H3K79me2	H1	Embryonic Stem Cell	Embryo	25.0	0.5304	0.995	37.0	0.003614	0.5564635958399999
917	Homo sapiens	GSM605323	H3K9ac	H1	Embryonic Stem Cell	Embryo	31.0	0.7409	0.9940000000000001	2362.0	0.09568575	0.9678
918	Homo sapiens	GSM537685	H3K9ac	H1	Embryonic Stem Cell	Embryo	28.0	0.7273	0.991	2381.0	0.06920375	0.9678
919	Homo sapiens	GSM433171	H3K9ac	H1	Embryonic Stem Cell	Embryo	28.0	0.6965	0.946	2295.0	0.0636635	0.9674
922	Homo sapiens	GSM434785	H3K9ac	H1	Embryonic Stem Cell	Embryo	30.0	0.603	0.992	1707.0	0.04807925	0.9664
923	Homo sapiens	GSM605328	H3K9me3	H1	Embryonic Stem Cell	Embryo	30.0	0.4521	0.988	154.0	0.015472999999999999	0.36713798147200005
924	Homo sapiens	GSM605327	H3K9me3	H1	Embryonic Stem Cell	Embryo	31.0	0.5293	0.99	85.0	0.014388999999999999	0.442794759825
925	Homo sapiens	GSM605325	H3K9me3	H1	Embryonic Stem Cell	Embryo	29.0	0.4267	0.893	3753.0	0.18845599999999998	0.42700000000000005
926	Homo sapiens	GSM450266	H3K9me3	H1	Embryonic Stem Cell	Embryo	25.0	0.3655	0.9590000000000001	9523.0	0.2801985	0.426
927	Homo sapiens	GSM433174	H3K9me3	H1	Embryonic Stem Cell	Embryo	31.0	0.5896	0.982	61.0	0.0110355	0.502958579882
928	Homo sapiens	GSM428291	H3K9me3	H1	Embryonic Stem Cell	Embryo	20.0	0.3119	0.9940000000000001	538.0	0.11257025	0.4122
929	Homo sapiens	GSM605329	H4K20me1	H1	Embryonic Stem Cell	Embryo	36.0	0.6746	0.987	247.0	0.01516225	0.3652
932	Homo sapiens	GSM605330	H4K5ac	H1	Embryonic Stem Cell	Embryo	26.0	0.4992	0.981	3115.0	0.093386	0.9022
933	Homo sapiens	GSM605332	H4K91ac	H1	Embryonic Stem Cell	Embryo	37.0	0.7473	0.995	187.0	0.01581325	0.7484
1014	Homo sapiens	GSM667611	H2BK12ac	H9	Embryonic Stem Cell	Embryo	38.0	0.7057	0.998	42.0	0.0037995	0.736979166667
1015	Homo sapiens	GSM667610	H2BK12ac	H9	Embryonic Stem Cell	Embryo	29.0	0.4736	0.99	32.0	0.001073	0.745730550285
1016	Homo sapiens	GSM706063	H2BK15ac	H9	Embryonic Stem Cell	Embryo	37.0	0.6559999999999999	0.887	30.0	0.00044050000000000003	0.8630136986299999
1017	Homo sapiens	GSM706062	H2BK15ac	H9	Embryonic Stem Cell	Embryo	38.0	0.6952	0.997	37.0	0.00173725	0.609037328094
1018	Homo sapiens	GSM667613	H2BK5ac	H9	Embryonic Stem Cell	Embryo	28.0	0.2743	0.965	78.0	0.0018055	0.809090909091
1019	Homo sapiens	GSM667612	H2BK5ac	H9	Embryonic Stem Cell	Embryo	33.0	0.6843	0.9940000000000001	407.0	0.01075625	0.823
1020	Homo sapiens	GSM706064	H3K18ac	H9	Embryonic Stem Cell	Embryo	37.0	0.7463	0.981	1931.0	0.03474175	0.9626
1021	Homo sapiens	GSM667616	H3K18ac	H9	Embryonic Stem Cell	Embryo	32.0	0.4693	0.9209999999999999	18.0	0.0006551961525580001	0.6105263157890001
1022	Homo sapiens	GSM667620	H3K23ac	H9	Embryonic Stem Cell	Embryo	32.0	0.5182	0.9840000000000001	42.0	0.00143375	0.48648648648599996
1023	Homo sapiens	GSM667619	H3K23ac	H9	Embryonic Stem Cell	Embryo	2.0	0.5367	0.9940000000000001	24.0	0.00059575	0.5675675675680001
1024	Homo sapiens	GSM667621	H3K23me2	H9	Embryonic Stem Cell	Embryo	31.0	0.5432	0.9840000000000001	67.0	0.00712925	0.7462
1025	Homo sapiens	GSM665037	H3K27ac	H9	Embryonic Stem Cell	Embryo	28.0	0.5413	0.985	244.0	0.007502	0.888553002821
1026	Homo sapiens	GSM605307	H3K27ac	H9	Embryonic Stem Cell	Embryo	2.0	0.4658	0.983	1927.0	0.0500345	0.9204
1027	Homo sapiens	GSM602294	H3K27ac	H9	Embryonic Stem Cell	Embryo	38.0	0.7009	0.99	8772.0	0.22337800000000002	0.9634
1028	Homo sapiens	GSM727601	H3K27me3	H9	Embryonic Stem Cell	Embryo	31.0	0.7652	0.992	593.0	0.08239975	0.7754
1029	Homo sapiens	GSM727577	H3K27me3	H9	Embryonic Stem Cell	Embryo	30.0	0.4611	0.9790000000000001	1158.0	0.141818	0.8238
1030	Homo sapiens	GSM706066	H3K27me3	H9	Embryonic Stem Cell	Embryo	24.0	0.4772	0.997	200.0	0.00217625	0.5696
1031	Homo sapiens	GSM667622	H3K27me3	H9	Embryonic Stem Cell	Embryo	29.0	0.5671	0.9840000000000001	137.0	0.07827775	0.7018
1032	Homo sapiens	GSM327663	H3K27me3	H9	Embryonic Stem Cell	Embryo	24.0	0.5882	0.922	60.0	0.044116	0.645034211072
1033	Homo sapiens	GSM602293	H3K27me3	H9	Embryonic Stem Cell	Embryo	38.0	0.7876	0.966	187.0	0.1064705	0.8584
1034	Homo sapiens	GSM667623	H3K36me3	H9	Embryonic Stem Cell	Embryo	31.0	0.5529999999999999	0.9540000000000001	18.0	0.00154275	0.544444444444
1035	Homo sapiens	GSM605310	H3K36me3	H9	Embryonic Stem Cell	Embryo	28.0	0.5604	0.9940000000000001	29.0	0.01918325	0.4294
1036	Homo sapiens	GSM327664	H3K36me3	H9	Embryonic Stem Cell	Embryo	23.0	0.5563	0.9670000000000001	45.0	0.05156775	0.4698
1037	Homo sapiens	GSM667625	H3K4ac	H9	Embryonic Stem Cell	Embryo	38.0	0.759	0.9640000000000001	41.0	0.0029105	0.669034090909
1038	Homo sapiens	GSM706071	H3K4me1	H9	Embryonic Stem Cell	Embryo	2.0	0.3574	0.9990000000000001	27.0	0.0012975	0.703496503497
1039	Homo sapiens	GSM667626	H3K4me1	H9	Embryonic Stem Cell	Embryo	31.0	0.7541	0.997	15.0	0.003034	0.7108886107629999
1040	Homo sapiens	GSM602295	H3K4me1	H9	Embryonic Stem Cell	Embryo	38.0	0.7203	0.988	11948.0	0.33844075	0.8906
1041	Homo sapiens	GSM616127	H3K4me2	H9	Embryonic Stem Cell	Embryo	2.0	0.2845	0.972	1656.0	0.12236225	0.9654
1042	Homo sapiens	GSM605314	H3K4me2	H9	Embryonic Stem Cell	Embryo	30.0	0.635	0.991	4782.0	0.19586525	0.9570000000000001
1043	Homo sapiens	GSM727596	H3K4me3	H9	Embryonic Stem Cell	Embryo	30.0	0.795	0.986	6950.0	0.28234425	0.9766
1044	Homo sapiens	GSM727572	H3K4me3	H9	Embryonic Stem Cell	Embryo	22.0	0.4424	0.98	9270.0	0.49458500000000005	0.973
1045	Homo sapiens	GSM616128	H3K4me3	H9	Embryonic Stem Cell	Embryo	2.0	0.2808	0.972	5259.0	0.22571275	0.9714
1046	Homo sapiens	GSM605316	H3K4me3	H9	Embryonic Stem Cell	Embryo	27.0	0.5822	0.975	11672.0	0.58076	0.972
1047	Homo sapiens	GSM327662	H3K4me3	H9	Embryonic Stem Cell	Embryo	20.0	0.4154	0.96	5580.0	0.41174475	0.9708
1048	Homo sapiens	GSM602296	H3K4me3	H9	Embryonic Stem Cell	Embryo	38.0	0.8296	0.943	13575.0	0.84627225	0.9772
1049	Homo sapiens	GSM706076	H3K56ac	H9	Embryonic Stem Cell	Embryo	29.0	0.4954	0.9690000000000001	49.0	0.00299075	0.617965926691
1050	Homo sapiens	GSM667628	H3K56ac	H9	Embryonic Stem Cell	Embryo	2.0	0.5123	0.9620000000000001	295.0	0.00678875	0.727293952837
1051	Homo sapiens	GSM706077	H3K79me1	H9	Embryonic Stem Cell	Embryo	36.0	0.608	0.828	34.0	0.0009155	0.680555555556
1052	Homo sapiens	GSM667629	H3K79me1	H9	Embryonic Stem Cell	Embryo	38.0	0.7573	0.884	33.0	0.0008795	0.585858585859
1053	Homo sapiens	GSM706078	H3K79me2	H9	Embryonic Stem Cell	Embryo	2.0	0.4011	0.998	29.0	0.0016589999999999999	0.595238095238
1054	Homo sapiens	GSM667630	H3K79me2	H9	Embryonic Stem Cell	Embryo	33.0	0.6851	0.997	41.0	0.01702975	0.6104
1055	Homo sapiens	GSM616129	H3K9ac	H9	Embryonic Stem Cell	Embryo	21.0	0.3185	0.956	33.0	0.001572	0.8979266347689999
1056	Homo sapiens	GSM605324	H3K9ac	H9	Embryonic Stem Cell	Embryo	33.0	0.7135	0.992	2618.0	0.101372	0.9644
1057	Homo sapiens	GSM667633	H3K9me3	H9	Embryonic Stem Cell	Embryo	33.0	0.2626	0.986	681.0	0.01116225	0.2914
1058	Homo sapiens	GSM667632	H3K9me3	H9	Embryonic Stem Cell	Embryo	32.0	0.4049	0.983	185.0	0.05377875	0.344
1059	Homo sapiens	GSM667631	H3K9me3	H9	Embryonic Stem Cell	Embryo	29.0	0.3144	0.985	85.0	0.03231425	0.493181818182
1060	Homo sapiens	GSM667634	H4K20me1	H9	Embryonic Stem Cell	Embryo	31.0	0.5337	0.968	29.0	0.0010804999999999999	0.5705882352939999
1061	Homo sapiens	GSM667636	H4K5ac	H9	Embryonic Stem Cell	Embryo	35.0	0.5771	0.993	118.0	0.00816475	0.6936
1062	Homo sapiens	GSM667635	H4K5ac	H9	Embryonic Stem Cell	Embryo	2.0	0.568	0.972	499.0	0.012911500000000001	0.8034
1063	Homo sapiens	GSM667638	H4K8ac	H9	Embryonic Stem Cell	Embryo	35.0	0.5901	0.99	59.0	0.003635	0.557657329938
1064	Homo sapiens	GSM667637	H4K8ac	H9	Embryonic Stem Cell	Embryo	2.0	0.5601	0.983	445.0	0.0150525	0.706
1065	Homo sapiens	GSM667640	H4K91ac	H9	Embryonic Stem Cell	Embryo	38.0	0.7681	0.903	49.0	0.00210725	0.801401869159
1066	Homo sapiens	GSM667639	H4K91ac	H9	Embryonic Stem Cell	Embryo	36.0	0.5972	0.9890000000000001	52.0	0.0021225000000000003	0.643690349947
1096	Homo sapiens	GSM723176	H3K9ac, H3K14ac	None	Endothelial Cell	Artery	29.0	0.8069	0.726	68.0	0.013013499999999999	0.8818
1097	Homo sapiens	GSM723175	H3K9ac, H3K14ac	None	Endothelial Cell	Artery	30.0	0.8038	0.96	123.0	0.037928500000000004	0.9508
1098	Homo sapiens	GSM723174	H3K9ac, H3K14ac	None	Endothelial Cell	Artery	29.0	0.8009999999999999	0.9259999999999999	23.0	0.00448959170321	0.9090183559460001
1099	Homo sapiens	GSM723173	H3K9ac, H3K14ac	None	Endothelial Cell	Artery	29.0	0.7929999999999999	0.752	30.0	0.00516925	0.852871219844
1100	Homo sapiens	GSM723172	H3K9ac, H3K14ac	None	Endothelial Cell	Artery	30.0	0.8067	0.8859999999999999	382.0	0.03636475	0.9524
1101	Homo sapiens	GSM723171	H3K9ac, H3K14ac	None	Endothelial Cell	Artery	29.0	0.7905	0.9179999999999999	30.0	0.0039109999999999995	0.886703383163
1233	Homo sapiens	GSM335957	H3.3	HeLa	Epithelium	Cervix	30.0	0.3997	0.975	931.0	0.02789225	0.9018
1234	Homo sapiens	GSM335958	H3.3,H2A.Z	HeLa	Epithelium	Cervix	26.0	0.3898	0.958	321.0	0.02859925	0.8896
1239	Homo sapiens	GSM566170	H3K27me3	HeLa	Epithelium	Cervix	31.0	0.8077	0.9059999999999999	13.0	0.00090025	0.6068965517239999
1240	Homo sapiens	GSM325898	H3K27me3	HeLa	Epithelium	Cervix	24.0	0.49	0.992	5.0	0.001037	0.34688346883500004
1243	Homo sapiens	GSM766170	H3K36me3	HeLa	Epithelium	Cervix	33.0	0.4824	0.845	3.0	0.00038425	0.5652173913040001
1244	Homo sapiens	GSM766169	H3K36me3	HeLa	Epithelium	Cervix	33.0	0.5932	0.976	7.0	0.00043049999999999995	0.547619047619
1247	Homo sapiens	GSM566172	H3K36me3	HeLa	Epithelium	Cervix	32.0	0.7979	0.943	19.0	0.015571999999999999	0.528200905723
1252	Homo sapiens	GSM558468	H3K4me2	HeLa	Epithelium	Cervix	30.0	0.6969	0.993	1047.0	0.146451719938	0.9574
1255	Homo sapiens	GSM566169	H3K4me3	HeLa	Epithelium	Cervix	30.0	0.8542	0.9279999999999999	6804.0	0.47304125	0.9736
1256	Homo sapiens	GSM501713	H3K4me3	HeLa	Epithelium	Cervix	28.0	0.6165	0.843	5329.0	0.564693	0.972
1257	Homo sapiens	GSM418300	H3K4me3	HeLa	Epithelium	Cervix	40.0	0.5764	0.873	6400.0	0.31533326005199996	0.978
1262	Homo sapiens	GSM566173	H3K79me3	HeLa	Epithelium	Cervix	31.0	0.8131	0.9570000000000001	86.0	0.14515275	0.7826
1263	Homo sapiens	GSM566174	H3K9ac, H3K14ac	HeLa	Epithelium	Cervix	31.0	0.8581	0.9359999999999999	4442.0	0.30356075	0.9698
1266	Homo sapiens	GSM418304	H3K9ac	HeLa	Epithelium	Cervix	39.0	0.64	0.8740000000000001	24.0	0.006097999999999999	0.876602564103
1267	Homo sapiens	GSM418303	H3K9ac	HeLa	Epithelium	Cervix	40.0	0.47600000000000003	0.9590000000000001	479.0	0.043223606925800004	0.9474
1268	Homo sapiens	GSM531965	H3K9me1	HeLa	Epithelium	Cervix	37.0	0.794	0.92	11.0	0.000788	0.41899441340800003
1269	Homo sapiens	GSM531967	H3K9me2	HeLa	Epithelium	Cervix	37.0	0.7259	0.929	16.0	0.0009689999999999999	0.53125
1270	Homo sapiens	GSM566171	H3K9me3	HeLa	Epithelium	Cervix	31.0	0.747	0.9940000000000001	33.0	0.00666175	0.558776167472
1271	Homo sapiens	GSM418308	H4K16ac	HeLa	Epithelium	Cervix	40.0	0.6890000000000001	0.965	3.0	0.000129989391188	0.888888888889
1272	Homo sapiens	GSM418307	H4K16ac	HeLa	Epithelium	Cervix	38.0	0.6505	0.986	4.0	0.00050325	0.538461538462
1275	Homo sapiens	GSM558474	H4K20me1	HeLa	Epithelium	Cervix	31.0	0.6981	0.9890000000000001	40.0	0.00227675	0.410810810811
1276	Homo sapiens	GSM531969	H4K20me1	HeLa	Epithelium	Cervix	37.0	0.8058	0.987	10.0	0.00067875	0.445652173913
1287	Homo sapiens	GSM418302	H3K9ac	HeLa	Epithelium	Cervix	40.0	0.6535	0.899	520.0	0.07587125	0.9628
1288	Homo sapiens	GSM418301	H3K9ac	HeLa	Epithelium	Cervix	37.0	0.4904	0.963	760.0	0.06967675	0.9528
1509	Homo sapiens	GSM537648	H3K27me3	hES I3	Embryonic Stem Cell	Embryo	31.0	0.6784	0.8240000000000001	15.0	0.05154675	0.7784
1510	Homo sapiens	GSM537627	H3K27me3	hES I3	Embryonic Stem Cell	Embryo	25.0	0.5546	0.934	10.0	0.02301275	0.7498432601880001
1511	Homo sapiens	GSM537672	H3K36me3	hES I3	Embryonic Stem Cell	Embryo	28.0	0.5376	0.93	17.0	0.00269275	0.486880466472
1512	Homo sapiens	GSM537669	H3K36me3	hES I3	Embryonic Stem Cell	Embryo	31.0	0.7278	0.912	11.0	0.0005185	0.510638297872
1513	Homo sapiens	GSM537668	H3K4me1	hES I3	Embryonic Stem Cell	Embryo	31.0	0.7044	0.977	46.0	0.04881775	0.8844
1514	Homo sapiens	GSM537665	H3K4me3	hES I3	Embryonic Stem Cell	Embryo	28.0	0.5837	0.961	2670.0	0.1845165	0.9678
1515	Homo sapiens	GSM537626	H3K4me3	hES I3	Embryonic Stem Cell	Embryo	21.0	0.2695	0.9590000000000001	1340.0	0.12544975	0.9312
1516	Homo sapiens	GSM537670	H3K9ac	hES I3	Embryonic Stem Cell	Embryo	30.0	0.7349	0.912	6814.0	0.5135145000000001	0.9746
1517	Homo sapiens	GSM537624	H3K9ac	hES I3	Embryonic Stem Cell	Embryo	29.0	0.6113	0.945	580.0	0.06716649999999999	0.9558
1518	Homo sapiens	GSM537664	H3K9me3	hES I3	Embryonic Stem Cell	Embryo	30.0	0.5709	0.941	39.0	0.00724775	0.455032757594
1519	Homo sapiens	GSM537625	H3K9me3	hES I3	Embryonic Stem Cell	Embryo	31.0	0.6702	0.9329999999999999	32.0	0.004733	0.513745704467
1624	Homo sapiens	GSM520386	H3K4me3	Hs68	Fibroblast	Foreskin	27.0	0.7299	0.915	11994.0	0.57744	0.9798
